"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969707616000E9,"2023-03-04 17:41:47.616 UTC-05:00"
"PAUSE",3.000659812500089E1,1.677969737623000E9,"2023-03-04 17:42:17.623 UTC-05:00"
