"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677968112772414E9,"2023-03-04 17:15:12.772 UTC-05:00"
"PAUSE",1.000863104173914E1,1.677968122780919E9,"2023-03-04 17:15:22.781 UTC-05:00"
