"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969226330248E9,"2023-03-04 17:33:46.330 UTC-05:00"
"PAUSE",1.000382379163057E1,1.677969236333918E9,"2023-03-04 17:33:56.334 UTC-05:00"
