"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677968001281675E9,"2023-03-04 17:13:21.282 UTC-05:00"
"PAUSE",1.000466170825530E1,1.677968011286211E9,"2023-03-04 17:13:31.286 UTC-05:00"
