"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969869929000E9,"2023-03-04 17:44:29.929 UTC-05:00"
"PAUSE",3.000523020833316E1,1.677969899934000E9,"2023-03-04 17:44:59.934 UTC-05:00"
