"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677968147051625E9,"2023-03-04 17:15:47.052 UTC-05:00"
"PAUSE",1.000488095835317E1,1.677968157056380E9,"2023-03-04 17:15:57.056 UTC-05:00"
