"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969532284000E9,"2023-03-04 17:38:52.284 UTC-05:00"
"PAUSE",3.000499512500028E1,1.677969562290000E9,"2023-03-04 17:39:22.290 UTC-05:00"
