"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677967799406189E9,"2023-03-04 17:09:59.406 UTC-05:00"
"PAUSE",1.000675933330786E1,1.677967809412823E9,"2023-03-04 17:10:09.413 UTC-05:00"
