"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677968189786402E9,"2023-03-04 17:16:29.786 UTC-05:00"
"PAUSE",1.000463158334605E1,1.677968199790908E9,"2023-03-04 17:16:39.791 UTC-05:00"
