"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677967861730972E9,"2023-03-04 17:11:01.731 UTC-05:00"
"PAUSE",1.000552833336406E1,1.677967871736375E9,"2023-03-04 17:11:11.736 UTC-05:00"
