"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677967959646630E9,"2023-03-04 17:12:39.647 UTC-05:00"
"PAUSE",1.000387949997094E1,1.677967969650384E9,"2023-03-04 17:12:49.650 UTC-05:00"
