"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969144684979E9,"2023-03-04 17:32:24.685 UTC-05:00"
"PAUSE",1.000363737507723E1,1.677969154687562E9,"2023-03-04 17:32:34.688 UTC-05:00"
