"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677968857637027E9,"2023-03-04 17:27:37.637 UTC-05:00"
"PAUSE",1.000604908331297E1,1.677968867642950E9,"2023-03-04 17:27:47.643 UTC-05:00"
