"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969445765890E9,"2023-03-04 17:37:25.766 UTC-05:00"
"PAUSE",1.000413137499709E1,1.677969455769875E9,"2023-03-04 17:37:35.770 UTC-05:00"
