"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969332258282E9,"2023-03-04 17:35:32.258 UTC-05:00"
"PAUSE",1.000687929173000E1,1.677969342265015E9,"2023-03-04 17:35:42.265 UTC-05:00"
