"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969296706021E9,"2023-03-04 17:34:56.706 UTC-05:00"
"PAUSE",1.000467183324508E1,1.677969306710547E9,"2023-03-04 17:35:06.711 UTC-05:00"
