"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.125926250E-1,3.852297699E-1,2.959636907E0,-7.352547701E-1,3.073833466E0
6.226346249E-1,6.238575643E-1,2.371851109E0,-1.958841217E0,3.138779198E0
6.326776249E-1,1.554841300E0,-7.474039101E0,-2.027893209E1,2.166826893E1
6.427196249E-1,9.693074983E0,-4.118384603E0,-1.481676728E1,1.817837691E1
6.527626249E-1,3.457258641E0,4.742456176E0,2.769047790E0,6.489310715E0
6.628046250E-1,-7.360901910E-1,-6.626105708E-1,-5.637690620E0,5.724022804E0
6.728476250E-1,-9.626949406E-1,1.177504687E0,-2.138033819E0,2.623830682E0
6.828896250E-1,-1.634123697E0,4.924174190E-1,-1.518092135E0,2.284171382E0
6.929326250E-1,-3.005062464E0,-1.914144516E-1,-3.517603076E-1,3.031629136E0
7.029746249E-1,-5.788266363E0,-5.707426268E-1,-3.392051661E-1,5.826219596E0
7.130176249E-1,-9.151991773E0,2.055462655E0,3.952144754E-1,9.388294553E0
7.230596249E-1,-1.154922623E1,4.504280371E0,5.958113945E-1,1.241080817E1
7.331026250E-1,-1.193368767E1,5.120512581E0,1.374130762E0,1.305836077E1
7.431446250E-1,-8.378770008E0,2.415669850E0,3.794862839E0,9.510006921E0
7.531876250E-1,-2.448615695E0,9.055191118E-1,1.481076336E0,3.001544735E0
7.632296250E-1,9.672265327E-1,1.457214287E0,-2.441825323E0,3.003583119E0
7.732726249E-1,-2.504823225E0,4.753499812E0,-1.724644443E0,5.643075252E0
7.833146249E-1,-2.585921182E0,3.393553811E0,4.119426577E0,5.930672066E0
7.933576249E-1,3.831452960E0,9.660044646E-1,5.164844416E0,6.502985027E0
8.033996250E-1,8.248311026E0,-4.172558472E-2,3.769830909E0,9.069068358E0
8.134426250E-1,7.910607424E0,-1.580919297E0,3.774934359E0,8.906578752E0
8.234846250E-1,6.224159333E0,-2.331158288E0,4.393278583E0,7.967142215E0
8.335276250E-1,7.162609963E0,-2.555490225E0,4.315136393E0,8.743792877E0
8.435696249E-1,9.306981579E0,-4.587584483E0,3.532079612E0,1.096090434E1
8.536126249E-1,9.593709154E0,-5.820847633E0,2.424111768E0,1.148032405E1
8.636546249E-1,7.227044526E0,-5.696501330E0,2.629496387E0,9.570504231E0
8.736976249E-1,5.038338152E0,-5.191181445E0,2.387992347E0,7.618118113E0
8.837396250E-1,5.093062243E0,-3.598350200E0,-1.906613302E-1,6.238890840E0
8.937826250E-1,4.685019561E0,-3.360110368E0,-2.758242720E0,6.391216854E0
9.038246250E-1,4.026085135E0,-4.343080237E0,-4.169388696E0,7.242617590E0
9.138676249E-1,3.547957726E0,-4.511280658E0,-3.871911600E0,6.923247550E0
9.239096249E-1,2.418520660E0,-3.953446929E0,-2.581931627E0,5.305219668E0
9.339526249E-1,1.168439748E0,-2.940292856E0,-1.780914538E0,3.630734102E0
9.439946250E-1,-6.622989142E-1,-3.412027504E0,-1.618578290E0,3.834105791E0
9.540376250E-1,-1.665527923E0,-4.602161592E0,-9.826070487E-1,4.991932611E0
9.640796250E-1,-3.534199812E0,-5.233280228E0,7.388003755E-1,6.357956925E0
