"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678830024732000E9,"2023-03-14 17:40:24.732 UTC-04:00"
"PAUSE",3.062948320833675E1,1.678830055362000E9,"2023-03-14 17:40:55.362 UTC-04:00"
