"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677953280441207E9,"2023-03-04 13:08:00.441 UTC-05:00"
"PAUSE",1.000353495834861E1,1.677953290444680E9,"2023-03-04 13:08:10.445 UTC-05:00"
