"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677970063359000E9,"2023-03-04 17:47:43.359 UTC-05:00"
"PAUSE",3.000491529166538E1,1.677970093364000E9,"2023-03-04 17:48:13.364 UTC-05:00"
