"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678830333347000E9,"2023-03-14 17:45:33.347 UTC-04:00"
"PAUSE",3.059830837500340E1,1.678830363945000E9,"2023-03-14 17:46:03.945 UTC-04:00"
