"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677968058014381E9,"2023-03-04 17:14:18.014 UTC-05:00"
"PAUSE",1.000864733336493E1,1.677968068022902E9,"2023-03-04 17:14:28.023 UTC-05:00"
