"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677954913941630E9,"2023-03-04 13:35:13.942 UTC-05:00"
"PAUSE",1.000870374997612E1,1.677954923950233E9,"2023-03-04 13:35:23.950 UTC-05:00"
