"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677968705286732E9,"2023-03-04 17:25:05.287 UTC-05:00"
"PAUSE",1.000720816676039E1,1.677968715293814E9,"2023-03-04 17:25:15.294 UTC-05:00"
