"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677968967930682E9,"2023-03-04 17:29:27.931 UTC-05:00"
"PAUSE",1.000820162508171E1,1.677968977938757E9,"2023-03-04 17:29:37.939 UTC-05:00"
