"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677968918220237E9,"2023-03-04 17:28:38.220 UTC-05:00"
"PAUSE",1.001203062501736E1,1.677968928232142E9,"2023-03-04 17:28:48.232 UTC-05:00"
