"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678829948600000E9,"2023-03-14 17:39:08.600 UTC-04:00"
"PAUSE",3.060657050000009E1,1.678829979207000E9,"2023-03-14 17:39:39.207 UTC-04:00"
