"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678826926041000E9,"2023-03-14 16:48:46.041 UTC-04:00"
"PAUSE",3.059870020833478E1,1.678826956640000E9,"2023-03-14 16:49:16.640 UTC-04:00"
