"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677954851083907E9,"2023-03-04 13:34:11.084 UTC-05:00"
"PAUSE",1.000978833332192E1,1.677954861093595E9,"2023-03-04 13:34:21.094 UTC-05:00"
