"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969277912000E9,"2023-03-04 17:34:37.912 UTC-05:00"
"PAUSE",3.000480466666704E1,1.677969307918000E9,"2023-03-04 17:35:07.918 UTC-05:00"
