"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969490001786E9,"2023-03-04 17:38:10.002 UTC-05:00"
"PAUSE",1.000436179165263E1,1.677969500006001E9,"2023-03-04 17:38:20.006 UTC-05:00"
