"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677969781595000E9,"2023-03-04 17:43:01.595 UTC-05:00"
"PAUSE",3.000465845833242E1,1.677969811600000E9,"2023-03-04 17:43:31.600 UTC-05:00"
