"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677968799934974E9,"2023-03-04 17:26:39.935 UTC-05:00"
"PAUSE",1.000859441666398E1,1.677968809943443E9,"2023-03-04 17:26:49.943 UTC-05:00"
